Customer_ID,Age,Annual_Income,Spending_Score,Purchase_Frequency,Total_Spending,Website_Visits,Customer_Visits
1001,56,69376,50,26,65058,50,22
1002,46,65587,14,23,67068,30,10
1003,32,56976,64,30,82313,37,22
1004,60,124587,47,18,104932,25,19
1005,25,147534,29,10,35373,48,1
1006,38,87584,76,21,38154,27,7
1007,56,124537,36,4,11031,51,4
1008,36,98477,99,12,98533,14,1
1009,40,130911,52,27,76975,57,15
1010,28,62533,76,8,27785,48,8
1011,28,21828,7,2,83928,59,12
1012,41,21917,29,22,33669,47,22
1013,53,40618,11,13,99475,54,22
1014,57,52254,33,21,7282,36,18
1015,41,125292,6,16,39624,39,15
1016,20,136714,79,28,53438,16,17
1017,39,67362,32,2,94900,56,29
1018,19,40128,51,11,72534,22,14
1019,41,143781,75,10,36705,21,14
1020,61,131281,58,15,43244,54,18
1021,47,79383,87,17,79964,21,20
1022,55,85545,26,8,42437,8,18
1023,19,102180,98,18,82872,49,16
1024,38,107958,46,23,79878,16,1
1025,50,29865,98,9,110368,59,23
1026,29,22219,29,25,77982,55,27
1027,39,59809,4,8,55583,31,11
1028,61,136748,81,27,43392,42,15
1029,42,25287,99,14,12461,10,12
1030,44,146593,13,28,105123,32,8
1031,59,54387,39,26,15516,59,22
1032,45,28512,15,25,84285,34,20
1033,33,21342,29,18,22514,9,30
1034,32,83076,29,22,105962,17,6
1035,64,128872,75,20,41268,11,3
1036,61,39216,32,30,95486,32,28
1037,20,137512,2,20,105424,10,24
1038,54,136682,47,21,41788,22,26
1039,24,113070,78,12,80749,57,30
1040,38,99767,84,19,66049,17,13
1041,26,117829,22,14,67493,4,13
1042,56,46614,75,17,41027,48,2
1043,35,56258,27,24,98547,52,5
1044,21,113789,67,21,47849,47,17
1045,42,62078,81,3,105127,25,6
1046,31,126288,56,26,22858,59,2
1047,26,103524,92,30,89162,21,4
1048,43,116573,93,23,84003,37,22
1049,19,32219,21,7,57395,38,26
1050,37,20235,47,17,44758,49,11
1051,45,62929,80,12,59312,1,8
1052,64,147309,59,9,73670,25,12
1053,24,87444,84,15,87279,51,8
1054,61,28567,6,18,20434,36,11
1055,25,121834,19,21,69047,17,22
1056,64,90792,57,13,52775,41,20
1057,52,85441,69,30,80769,24,8
1058,31,104555,3,21,119682,2,29
1059,34,93698,1,30,71677,40,8
1060,53,144450,58,8,88555,15,26
1061,57,137248,38,14,90920,32,30
1062,21,25415,15,8,113439,39,17
1063,19,56159,34,14,50734,59,20
1064,23,63925,61,7,106665,6,20
1065,59,146523,35,23,93503,1,23
1066,21,25951,64,12,45603,47,16
1067,46,107388,25,11,81708,23,14
1068,35,28007,24,22,86926,58,30
1069,43,146730,12,22,73803,39,11
1070,61,61832,18,11,44332,57,7
1071,51,78596,15,25,96703,17,16
1072,27,141101,80,22,26312,34,13
1073,53,50523,27,28,98376,59,27
1074,31,108861,72,29,89526,41,15
1075,48,144194,60,13,49179,29,24
1076,,106740,46,18,76442,9,16
1077,32,35524,89,2,119332,13,27
1078,25,149028,17,29,45379,6,21
1079,31,39282,93,21,22297,6,23
1080,40,43930,53,15,7011,20,24
1081,57,20077,8,20,49014,52,9
1082,38,125881,79,27,117094,53,3
1083,33,145501,27,18,16738,3,19
1084,62,40611,46,15,99333,17,20
1085,35,36984,50,19,52498,49,5
1086,64,34060,71,23,16120,12,10
1087,41,102985,3,24,13767,48,17
1088,43,104056,93,12,27852,47,15
1089,42,145329,,13,84239,45,23
1090,62,63303,44,22,5929,55,25
1091,58,79207,53,11,82487,1,8
1092,46,95046,24,5,96575,17,15
1093,32,49287,60,29,119149,3,21
1094,62,113709,3,1,100040,26,30
1095,18,59711,20,24,22438,15,14
1096,42,31954,46,3,53515,36,20
1097,24,93340,15,22,10744,32,28
1098,26,92101,25,19,88820,32,7
1099,41,91520,94,23,47417,4,21
1100,18,107062,78,29,110284,18,23
1101,61,122974,71,30,12069,49,12
1102,25,38574,17,7,47359,19,17
1103,41,29184,84,12,24799,43,17
1104,28,39096,100,15,103746,52,10
1105,34,87728,9,25,98762,35,30
1106,25,54016,38,5,75188,40,29
1107,52,31246,48,15,94859,14,19
1108,52,65558,60,8,112674,58,14
1109,50,138721,63,10,12597,33,11
1110,22,38381,86,26,52093,14,2
1111,59,147796,2,16,42226,34,18
1112,56,56455,88,8,77127,55,7
1113,58,112263,72,1,119650,4,12
1114,45,24018,11,12,96369,24,26
1115,24,31302,64,5,82362,59,2
1116,26,87506,77,3,31417,29,27
1117,25,61157,81,1,23693,19,20
1118,29,74917,72,4,84674,6,18
1119,51,112738,21,8,58161,57,6
1120,50,116646,18,3,7169,33,24
1121,65,,94,10,89092,49,10
1122,40,44519,64,2,27052,40,20
1123,41,116809,82,11,76849,19,15
1124,54,107487,95,25,78851,53,5
1125,52,76819,38,10,13036,1,20
1126,61,100910,32,21,36778,5,3
1127,57,140430,11,14,32734,27,5
1128,39,91324,45,7,28173,16,30
1129,44,25408,89,27,35403,6,25
1130,52,79379,33,27,71321,40,8
1131,18,45053,41,2,76675,13,8
1132,52,29446,8,9,11344,48,8
1133,54,20922,11,16,23800,35,12
1134,64,118723,86,13,30372,19,24
1135,31,71356,51,9,66516,12,23
1136,20,30789,88,20,25538,16,8
1137,18,117720,41,4,68918,59,11
1138,22,86656,17,22,19973,43,14
1139,43,64028,76,10,76155,10,8
1140,31,84484,46,26,105240,25,29
1141,56,52154,32,26,64500,20,30
1142,44,102870,79,22,41575,31,24
1143,26,22336,80,12,110455,4,28
1144,32,123677,54,17,47261,44,10
1145,32,87779,86,14,115659,23,7
1146,43,39029,92,14,32716,2,28
1147,59,79201,20,25,8236,56,17
1148,30,52265,33,2,20848,22,4
1149,49,122916,74,21,7352,51,29
1150,56,132250,40,25,6932,57,13
1151,49,136553,32,20,81449,37,4
1152,21,63872,97,11,13556,8,5
1153,47,66197,2,16,91836,7,26
1154,54,145733,97,19,10498,14,22
1155,40,75180,33,23,81118,56,4
1156,56,43710,77,6,55098,55,18
1157,62,49486,30,24,69386,3,6
1158,32,91907,33,19,117169,50,24
1159,60,148876,77,5,14569,16,24
1160,46,91895,26,26,61882,55,23
1161,53,84435,22,4,75393,19,22
1162,30,60631,66,15,5340,51,2
1163,49,149038,38,29,48949,18,23
1164,24,121532,90,4,87302,52,11
1165,39,40103,46,20,67443,16,28
1166,45,84772,15,10,96668,8,14
1167,19,146108,98,24,79027,60,30
1168,59,34382,44,22,5138,33,5
1169,62,104291,49,3,5358,49,6
1170,23,121195,75,26,80250,12,10
1171,45,23756,61,5,90376,53,8
1172,45,40609,67,6,104931,11,14
1173,61,134074,6,21,35654,5,24
1174,61,36478,9,22,30879,27,3
1175,37,120978,6,8,86532,12,12
1176,47,59666,73,7,60778,17,16
1177,28,95683,95,21,42772,6,28
1178,45,119097,32,10,63478,33,30
1179,42,144714,41,6,69353,5,23
1180,56,120420,76,14,31762,57,17
1181,50,91315,8,4,18283,28,1
1182,18,97834,72,28,68922,14,23
1183,44,146205,50,25,44420,5,10
1184,30,34153,92,13,60568,54,25
1185,58,129415,62,20,90090,56,23
1186,20,96325,84,17,25219,59,10
1187,56,129701,62,23,62169,33,21
1188,23,32999,7,7,105455,50,24
1189,25,75318,75,4,79965,48,2
1190,44,20814,84,29,51840,41,9
1191,26,135033,80,14,49695,19,22
1192,54,96077,4,3,110209,22,13
1193,50,110474,6,24,89754,5,25
1194,59,22443,58,5,82988,59,16
1195,61,95993,22,16,63342,2,18
1196,41,95916,26,26,119516,30,19
1197,32,93319,3,23,23951,47,12
1198,49,145885,41,20,6307,39,8
1199,49,129777,60,4,85388,4,17
1200,41,37368,14,24,95768,33,15
1201,58,35328,75,30,40428,13,10
1202,29,76942,82,24,113707,20,15
1203,56,111751,12,2,97021,54,15
1204,19,119131,87,30,80774,7,23
1205,20,47306,12,18,43975,15,7
1206,54,105451,13,19,6140,23,13
1207,34,59915,25,28,29842,14,17
1208,19,57219,45,28,31421,23,9
1209,19,100879,19,19,6708,19,8
1210,45,131939,55,17,8630,54,20
1211,40,84644,100,14,24595,29,26
1212,54,80279,45,19,81021,56,27
1213,49,73028,8,22,33308,20,21
1214,50,124263,93,24,49789,29,18
1215,,20126,53,13,60690,24,13
1216,36,72329,55,12,31086,18,16
1217,19,47632,32,30,21859,10,9
1218,61,127099,51,26,12684,41,12
1219,43,85310,44,6,96088,57,12
1220,49,129945,82,21,6207,8,6
1221,23,75176,70,4,51099,26,19
1222,49,139797,18,19,72496,29,28
1223,21,106066,83,16,71093,10,7
1224,28,125500,22,13,34689,17,25
1225,34,146413,37,4,53651,2,3
1226,55,64327,96,30,18893,6,16
1227,41,88904,56,23,102808,58,18
1228,22,23797,59,17,71418,5,16
1229,51,67882,3,23,108065,28,23
1230,23,33718,28,1,65011,41,7
1231,39,54560,74,18,43635,5,4
1232,28,96589,35,20,61115,18,27
1233,65,42116,61,17,100071,26,25
1234,33,56244,93,27,83405,20,30
1235,50,121721,54,28,77702,41,8
1236,26,21645,63,27,83518,49,13
1237,23,67523,79,15,111233,27,13
1238,33,144085,97,11,108651,49,17
1239,46,137718,7,25,77805,12,17
1240,20,39256,76,28,63954,7,5
1241,37,121376,49,22,33064,59,6
1242,53,120158,94,13,84063,3,19
1243,36,73173,85,1,7454,10,13
1244,43,57430,31,17,25878,34,25
1245,20,59282,58,6,56098,25,28
1246,36,139719,61,4,67154,35,26
1247,37,83374,24,20,17991,16,14
1248,49,88244,20,16,73344,2,22
1249,24,31694,37,15,109946,60,4
1250,58,76264,4,27,41593,24,28
1250,50,95060,92,15,41304,10,7
1252,57,117416,20,6,35386,38,8
1253,56,77545,60,15,60220,22,25
1254,35,138195,24,14,118613,26,13
1255,57,59224,50,28,74338,43,27
1256,18,122516,49,11,99289,55,6
1257,28,117945,51,7,26083,39,6
1258,45,33224,96,9,23354,27,24
1259,42,60738,36,26,27190,29,28
1260,40,45150,98,16,11142,47,21
1261,48,83731,100,5,33398,38,30
1262,47,69688,66,25,56971,20,3
1263,59,119929,79,20,46862,27,28
1264,52,128618,34,29,103668,41,3
1265,24,93509,36,10,58410,54,13
1266,33,28577,6,18,24503,20,22
1267,43,28070,39,3,53456,44,2
1268,65,146161,42,13,105167,19,16
1269,19,28666,58,11,87035,20,22
1270,18,77761,12,17,110388,35,29
1271,65,141178,3,30,13016,47,6
1272,29,56368,18,30,7384,2,8
1273,22,26783,40,22,67320,30,23
1274,54,131530,21,13,20072,53,8
1275,49,61914,15,6,107239,34,30
1276,26,90507,97,17,116431,22,25
1277,58,147738,99,27,85018,3,6
1278,52,99026,26,13,45510,6,14
1279,36,135893,8,19,53933,15,3
1280,65,131255,100,21,26826,27,10
1281,33,130616,94,19,73026,10,3
1282,20,87526,87,10,116628,9,27
1283,37,90835,42,3,30518,33,12
1284,41,65765,44,14,29045,32,17
1285,50,39956,14,26,55876,48,27
1286,41,107895,78,19,97446,6,29
1287,28,66240,2,5,95102,41,5
1288,25,141008,37,29,56919,59,30
1289,53,57148,69,5,104441,36,20
1290,55,114270,38,20,32103,59,25
1291,57,147978,41,17,41188,60,9
1292,37,24757,62,21,10845,2,30
1293,52,39097,60,10,91698,29,21
1294,65,30395,14,5,41674,4,26
1295,42,36241,89,4,24337,1,20
1296,52,123892,84,6,27313,19,7
1297,42,47696,2,26,31943,26,22
1298,46,135654,70,4,82949,25,4
1299,35,90480,17,30,5276,10,13
1300,63,66163,89,7,56151,53,13
1301,35,39816,28,7,22611,15,10
1302,19,69840,66,18,109641,59,18
1303,52,122547,35,3,16944,22,17
1304,33,72853,5,1,57887,51,20
